Planta,Centro,Producto,Cliente,Costo_Plant_Centro,Costo_Centro_Cliente
Planta_1,Centro_1,Producto_1,Cliente_1,8.09,10.42
Planta_1,Centro_1,Producto_2,Cliente_1,2.81,4.01
Planta_1,Centro_1,Producto_3,Cliente_1,7.61,3.87
Planta_1,Centro_1,Producto_4,Cliente_1,8.57,11.47
Planta_1,Centro_1,Producto_5,Cliente_1,2.65,4.02
Planta_1,Centro_1,Producto_1,Cliente_2,9.89,7.49
Planta_1,Centro_1,Producto_2,Cliente_2,4.97,12.75
Planta_1,Centro_1,Producto_3,Cliente_2,9.58,14.83
Planta_1,Centro_1,Producto_4,Cliente_2,8.03,7.52
Planta_1,Centro_1,Producto_5,Cliente_2,2.67,12.33
Planta_1,Centro_1,Producto_1,Cliente_3,6.47,8.09
Planta_1,Centro_1,Producto_2,Cliente_3,9.25,4.33
Planta_1,Centro_1,Producto_3,Cliente_3,5.94,3.14
Planta_1,Centro_1,Producto_4,Cliente_3,5.75,3.68
Planta_1,Centro_1,Producto_5,Cliente_3,2.95,4.41
Planta_1,Centro_1,Producto_1,Cliente_4,7.19,11.95
Planta_1,Centro_1,Producto_2,Cliente_4,6.67,14.55
Planta_1,Centro_1,Producto_3,Cliente_4,5.0,6.43
Planta_1,Centro_1,Producto_4,Cliente_4,8.95,5.68
Planta_1,Centro_1,Producto_5,Cliente_4,9.71,3.15
Planta_1,Centro_1,Producto_1,Cliente_5,9.76,3.52
Planta_1,Centro_1,Producto_2,Cliente_5,9.13,9.33
Planta_1,Centro_1,Producto_3,Cliente_5,9.94,3.89
Planta_1,Centro_1,Producto_4,Cliente_5,6.43,14.63
Planta_1,Centro_1,Producto_5,Cliente_5,6.18,10.55
Planta_1,Centro_1,Producto_1,Cliente_6,7.57,8.45
Planta_1,Centro_1,Producto_2,Cliente_6,7.02,10.01
Planta_1,Centro_1,Producto_3,Cliente_6,9.21,3.55
Planta_1,Centro_1,Producto_4,Cliente_6,4.25,14.4
Planta_1,Centro_1,Producto_5,Cliente_6,9.12,8.47
Planta_1,Centro_1,Producto_1,Cliente_7,6.96,6.33
Planta_1,Centro_1,Producto_2,Cliente_7,3.5,8.56
Planta_1,Centro_1,Producto_3,Cliente_7,4.83,10.0
Planta_1,Centro_1,Producto_4,Cliente_7,2.62,14.69
Planta_1,Centro_1,Producto_5,Cliente_7,9.89,11.38
Planta_1,Centro_1,Producto_1,Cliente_8,6.29,6.71
Planta_1,Centro_1,Producto_2,Cliente_8,8.51,11.22
Planta_1,Centro_1,Producto_3,Cliente_8,3.3,13.93
Planta_1,Centro_1,Producto_4,Cliente_8,8.58,14.4
Planta_1,Centro_1,Producto_5,Cliente_8,7.81,10.36
Planta_1,Centro_1,Producto_1,Cliente_9,5.35,14.19
Planta_1,Centro_1,Producto_2,Cliente_9,8.93,3.54
Planta_1,Centro_1,Producto_3,Cliente_9,2.21,7.52
Planta_1,Centro_1,Producto_4,Cliente_9,8.48,14.85
Planta_1,Centro_1,Producto_5,Cliente_9,3.2,10.13
Planta_1,Centro_1,Producto_1,Cliente_10,5.05,14.64
Planta_1,Centro_1,Producto_2,Cliente_10,8.74,13.06
Planta_1,Centro_1,Producto_3,Cliente_10,5.75,7.98
Planta_1,Centro_1,Producto_4,Cliente_10,4.19,3.68
Planta_1,Centro_1,Producto_5,Cliente_10,8.92,12.75
Planta_1,Centro_1,Producto_1,Cliente_11,10.0,14.96
Planta_1,Centro_1,Producto_2,Cliente_11,6.44,12.23
Planta_1,Centro_1,Producto_3,Cliente_11,9.56,13.2
Planta_1,Centro_1,Producto_4,Cliente_11,3.98,8.41
Planta_1,Centro_1,Producto_5,Cliente_11,3.03,14.45
Planta_1,Centro_1,Producto_1,Cliente_12,6.85,5.74
Planta_1,Centro_1,Producto_2,Cliente_12,7.37,10.42
Planta_1,Centro_1,Producto_3,Cliente_12,4.87,4.36
Planta_1,Centro_1,Producto_4,Cliente_12,7.37,9.24
Planta_1,Centro_1,Producto_5,Cliente_12,8.18,9.24
Planta_1,Centro_1,Producto_1,Cliente_13,8.82,9.62
Planta_1,Centro_1,Producto_2,Cliente_13,6.49,13.52
Planta_1,Centro_1,Producto_3,Cliente_13,5.23,4.61
Planta_1,Centro_1,Producto_4,Cliente_13,2.23,12.06
Planta_1,Centro_1,Producto_5,Cliente_13,6.96,11.45
Planta_1,Centro_1,Producto_1,Cliente_14,3.7,4.64
Planta_1,Centro_1,Producto_2,Cliente_14,2.12,7.21
Planta_1,Centro_1,Producto_3,Cliente_14,6.72,7.71
Planta_1,Centro_1,Producto_4,Cliente_14,5.5,13.85
Planta_1,Centro_1,Producto_5,Cliente_14,4.79,9.17
Planta_1,Centro_1,Producto_1,Cliente_15,8.27,7.76
Planta_1,Centro_1,Producto_2,Cliente_15,6.98,13.35
Planta_1,Centro_1,Producto_3,Cliente_15,9.6,4.76
Planta_1,Centro_1,Producto_4,Cliente_15,9.41,8.91
Planta_1,Centro_1,Producto_5,Cliente_15,4.07,8.51
Planta_1,Centro_1,Producto_1,Cliente_16,9.84,8.91
Planta_1,Centro_1,Producto_2,Cliente_16,4.63,10.6
Planta_1,Centro_1,Producto_3,Cliente_16,3.92,3.91
Planta_1,Centro_1,Producto_4,Cliente_16,3.03,4.54
Planta_1,Centro_1,Producto_5,Cliente_16,3.22,4.67
Planta_1,Centro_1,Producto_1,Cliente_17,7.13,5.18
Planta_1,Centro_1,Producto_2,Cliente_17,4.77,13.76
Planta_1,Centro_1,Producto_3,Cliente_17,5.79,11.01
Planta_1,Centro_1,Producto_4,Cliente_17,3.38,5.31
Planta_1,Centro_1,Producto_5,Cliente_17,2.33,5.03
Planta_1,Centro_1,Producto_1,Cliente_18,4.23,5.12
Planta_1,Centro_1,Producto_2,Cliente_18,2.71,4.45
Planta_1,Centro_1,Producto_3,Cliente_18,5.69,5.48
Planta_1,Centro_1,Producto_4,Cliente_18,4.91,9.04
Planta_1,Centro_1,Producto_5,Cliente_18,7.52,3.47
Planta_1,Centro_1,Producto_1,Cliente_19,8.4,10.53
Planta_1,Centro_1,Producto_2,Cliente_19,2.65,13.48
Planta_1,Centro_1,Producto_3,Cliente_19,9.37,3.73
Planta_1,Centro_1,Producto_4,Cliente_19,4.22,12.67
Planta_1,Centro_1,Producto_5,Cliente_19,7.99,5.21
Planta_1,Centro_1,Producto_1,Cliente_20,3.67,7.45
Planta_1,Centro_1,Producto_2,Cliente_20,5.88,10.42
Planta_1,Centro_1,Producto_3,Cliente_20,4.95,8.55
Planta_1,Centro_1,Producto_4,Cliente_20,7.98,3.44
Planta_1,Centro_1,Producto_5,Cliente_20,4.02,11.56
Planta_1,Centro_2,Producto_1,Cliente_1,9.16,9.14
Planta_1,Centro_2,Producto_2,Cliente_1,6.26,4.29
Planta_1,Centro_2,Producto_3,Cliente_1,5.58,9.39
Planta_1,Centro_2,Producto_4,Cliente_1,3.94,6.23
Planta_1,Centro_2,Producto_5,Cliente_1,5.02,3.24
Planta_1,Centro_2,Producto_1,Cliente_2,4.58,5.54
Planta_1,Centro_2,Producto_2,Cliente_2,4.62,4.44
Planta_1,Centro_2,Producto_3,Cliente_2,9.12,10.12
Planta_1,Centro_2,Producto_4,Cliente_2,7.43,12.47
Planta_1,Centro_2,Producto_5,Cliente_2,5.99,4.04
Planta_1,Centro_2,Producto_1,Cliente_3,6.3,10.04
Planta_1,Centro_2,Producto_2,Cliente_3,7.96,8.18
Planta_1,Centro_2,Producto_3,Cliente_3,3.02,6.41
Planta_1,Centro_2,Producto_4,Cliente_3,4.9,10.75
Planta_1,Centro_2,Producto_5,Cliente_3,6.57,7.27
Planta_1,Centro_2,Producto_1,Cliente_4,9.89,10.27
Planta_1,Centro_2,Producto_2,Cliente_4,3.9,4.22
Planta_1,Centro_2,Producto_3,Cliente_4,3.22,5.95
Planta_1,Centro_2,Producto_4,Cliente_4,3.29,5.24
Planta_1,Centro_2,Producto_5,Cliente_4,4.28,5.08
Planta_1,Centro_2,Producto_1,Cliente_5,9.17,3.96
Planta_1,Centro_2,Producto_2,Cliente_5,6.2,7.92
Planta_1,Centro_2,Producto_3,Cliente_5,9.86,4.34
Planta_1,Centro_2,Producto_4,Cliente_5,5.18,14.63
Planta_1,Centro_2,Producto_5,Cliente_5,8.92,12.8
Planta_1,Centro_2,Producto_1,Cliente_6,4.06,5.05
Planta_1,Centro_2,Producto_2,Cliente_6,7.35,14.15
Planta_1,Centro_2,Producto_3,Cliente_6,6.45,9.86
Planta_1,Centro_2,Producto_4,Cliente_6,4.24,12.23
Planta_1,Centro_2,Producto_5,Cliente_6,3.5,6.88
Planta_1,Centro_2,Producto_1,Cliente_7,5.4,9.09
Planta_1,Centro_2,Producto_2,Cliente_7,3.94,4.38
Planta_1,Centro_2,Producto_3,Cliente_7,6.88,6.46
Planta_1,Centro_2,Producto_4,Cliente_7,6.65,4.85
Planta_1,Centro_2,Producto_5,Cliente_7,5.85,9.39
Planta_1,Centro_2,Producto_1,Cliente_8,2.41,7.04
Planta_1,Centro_2,Producto_2,Cliente_8,3.08,3.76
Planta_1,Centro_2,Producto_3,Cliente_8,9.92,6.87
Planta_1,Centro_2,Producto_4,Cliente_8,8.48,6.06
Planta_1,Centro_2,Producto_5,Cliente_8,7.45,12.12
Planta_1,Centro_2,Producto_1,Cliente_9,6.77,8.66
Planta_1,Centro_2,Producto_2,Cliente_9,5.29,7.19
Planta_1,Centro_2,Producto_3,Cliente_9,9.44,12.97
Planta_1,Centro_2,Producto_4,Cliente_9,9.72,4.49
Planta_1,Centro_2,Producto_5,Cliente_9,7.85,14.26
Planta_1,Centro_2,Producto_1,Cliente_10,3.45,3.8
Planta_1,Centro_2,Producto_2,Cliente_10,7.93,9.89
Planta_1,Centro_2,Producto_3,Cliente_10,8.73,4.68
Planta_1,Centro_2,Producto_4,Cliente_10,8.36,5.42
Planta_1,Centro_2,Producto_5,Cliente_10,3.31,4.97
Planta_1,Centro_2,Producto_1,Cliente_11,8.52,10.98
Planta_1,Centro_2,Producto_2,Cliente_11,6.18,7.31
Planta_1,Centro_2,Producto_3,Cliente_11,9.02,7.71
Planta_1,Centro_2,Producto_4,Cliente_11,8.53,8.27
Planta_1,Centro_2,Producto_5,Cliente_11,5.02,8.55
Planta_1,Centro_2,Producto_1,Cliente_12,4.41,11.97
Planta_1,Centro_2,Producto_2,Cliente_12,6.02,5.79
Planta_1,Centro_2,Producto_3,Cliente_12,9.2,7.61
Planta_1,Centro_2,Producto_4,Cliente_12,6.35,13.88
Planta_1,Centro_2,Producto_5,Cliente_12,6.99,4.4
Planta_1,Centro_2,Producto_1,Cliente_13,9.52,10.53
Planta_1,Centro_2,Producto_2,Cliente_13,4.68,4.67
Planta_1,Centro_2,Producto_3,Cliente_13,8.35,10.44
Planta_1,Centro_2,Producto_4,Cliente_13,6.27,13.73
Planta_1,Centro_2,Producto_5,Cliente_13,8.31,4.82
Planta_1,Centro_2,Producto_1,Cliente_14,4.49,5.98
Planta_1,Centro_2,Producto_2,Cliente_14,7.95,3.4
Planta_1,Centro_2,Producto_3,Cliente_14,6.56,12.15
Planta_1,Centro_2,Producto_4,Cliente_14,9.01,7.1
Planta_1,Centro_2,Producto_5,Cliente_14,8.57,4.33
Planta_1,Centro_2,Producto_1,Cliente_15,8.77,4.53
Planta_1,Centro_2,Producto_2,Cliente_15,5.18,12.57
Planta_1,Centro_2,Producto_3,Cliente_15,3.2,5.75
Planta_1,Centro_2,Producto_4,Cliente_15,7.78,11.64
Planta_1,Centro_2,Producto_5,Cliente_15,7.13,11.33
Planta_1,Centro_2,Producto_1,Cliente_16,6.34,6.02
Planta_1,Centro_2,Producto_2,Cliente_16,4.77,5.18
Planta_1,Centro_2,Producto_3,Cliente_16,9.27,10.0
Planta_1,Centro_2,Producto_4,Cliente_16,5.21,8.54
Planta_1,Centro_2,Producto_5,Cliente_16,9.58,4.84
Planta_1,Centro_2,Producto_1,Cliente_17,6.69,9.07
Planta_1,Centro_2,Producto_2,Cliente_17,6.89,3.22
Planta_1,Centro_2,Producto_3,Cliente_17,8.98,14.19
Planta_1,Centro_2,Producto_4,Cliente_17,6.52,11.36
Planta_1,Centro_2,Producto_5,Cliente_17,9.38,11.49
Planta_1,Centro_2,Producto_1,Cliente_18,3.22,9.92
Planta_1,Centro_2,Producto_2,Cliente_18,6.85,8.09
Planta_1,Centro_2,Producto_3,Cliente_18,7.89,14.21
Planta_1,Centro_2,Producto_4,Cliente_18,9.4,8.41
Planta_1,Centro_2,Producto_5,Cliente_18,2.91,14.82
Planta_1,Centro_2,Producto_1,Cliente_19,8.71,4.5
Planta_1,Centro_2,Producto_2,Cliente_19,9.37,13.44
Planta_1,Centro_2,Producto_3,Cliente_19,6.15,10.1
Planta_1,Centro_2,Producto_4,Cliente_19,5.19,3.66
Planta_1,Centro_2,Producto_5,Cliente_19,4.68,12.63
Planta_1,Centro_2,Producto_1,Cliente_20,2.04,7.0
Planta_1,Centro_2,Producto_2,Cliente_20,5.19,9.45
Planta_1,Centro_2,Producto_3,Cliente_20,9.36,7.16
Planta_1,Centro_2,Producto_4,Cliente_20,4.78,11.85
Planta_1,Centro_2,Producto_5,Cliente_20,5.62,5.7
Planta_1,Centro_3,Producto_1,Cliente_1,5.62,4.69
Planta_1,Centro_3,Producto_2,Cliente_1,3.41,8.98
Planta_1,Centro_3,Producto_3,Cliente_1,5.35,13.98
Planta_1,Centro_3,Producto_4,Cliente_1,4.9,9.97
Planta_1,Centro_3,Producto_5,Cliente_1,7.06,3.16
Planta_1,Centro_3,Producto_1,Cliente_2,7.31,5.14
Planta_1,Centro_3,Producto_2,Cliente_2,9.69,4.78
Planta_1,Centro_3,Producto_3,Cliente_2,5.32,4.02
